
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
     198   0.18025E-01 0.88411E-02  0.0000        0.00    0.00    0.00
     199   0.18764E-01 0.87840E-02  0.0000        0.00    0.00    0.00
     200   0.18820E-01 0.80483E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     201   0.18815E-01 0.73778E-02  0.0000        0.00    0.00    0.00
     202   0.18823E-01 0.66934E-02  0.0000        0.00    0.00    0.00
     203   0.18829E-01 0.60157E-02  0.0000        0.00    0.00    0.00
     204   0.18839E-01 0.53388E-02  0.0000        0.00    0.00    0.00
     205   0.18845E-01 0.46667E-02  0.0000        0.00    0.00    0.00
     206   0.18838E-01 0.39932E-02  0.0000        0.00    0.00    0.00
     207   0.18828E-01 0.33110E-02  0.0000        0.00    0.00    0.00
     208   0.18830E-01 0.26315E-02  0.0000        0.00    0.00    0.00
     209   0.18841E-01 0.19749E-02  0.0000        0.00    0.00    0.00
     210   0.18784E-01 0.12364E-02  0.0000        0.00    0.00    0.00
     211   0.18048E-01 0.11802E-02  0.0000        0.00    0.00    0.00
     212   0.17378E-01 0.11852E-02  0.0000        0.00    0.00    0.00
     213   0.16693E-01 0.11769E-02  0.0000        0.00    0.00    0.00
     214   0.16009E-01 0.11626E-02  0.0000        0.00    0.00    0.00
     215   0.15333E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     216   0.14667E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     217   0.14000E-01 0.11547E-02  0.0000        0.00    0.00    0.00
     218   0.13333E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     219   0.12667E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     220   0.12000E-01 0.11547E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     221   0.11333E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     222   0.10667E-01 0.11546E-02  0.0000        0.00    0.00    0.00
     223   0.10000E-01 0.11547E-02  0.0000        0.00    0.00    0.00
     224   0.93333E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     225   0.86667E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     226   0.80000E-02 0.11547E-02  0.0000        0.00    0.00    0.00
     227   0.73333E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     228   0.66667E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     229   0.60000E-02 0.11547E-02  0.0000        0.00    0.00    0.00
     230   0.53333E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     231   0.46667E-02 0.11546E-02  0.0000        0.00    0.00    0.00
     232   0.40000E-02 0.11547E-02  0.0000        0.00    0.00    0.00
     233   0.33146E-02 0.11653E-02  0.0000        0.00    0.00    0.00
     234   0.26409E-02 0.11642E-02  0.0000        0.00    0.00    0.00
     235   0.19746E-02 0.11589E-02  0.0000        0.00    0.00    0.00
     236   0.12364E-02 0.12160E-02  0.0000        0.00    0.00    0.00
     237   0.11802E-02 0.19517E-02  0.0000        0.00    0.00    0.00
     238   0.11852E-02 0.26222E-02  0.0000        0.00    0.00    0.00
     239   0.11773E-02 0.33066E-02  0.0000        0.00    0.00    0.00
     240   0.11705E-02 0.39843E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     241   0.11608E-02 0.46612E-02  0.0000        0.00    0.00    0.00
     242   0.11547E-02 0.53333E-02  0.0000        0.00    0.00    0.00
     243   0.11694E-02 0.60144E-02  0.0000        0.00    0.00    0.00
     244   0.11853E-02 0.67025E-02  0.0000        0.00    0.00    0.00
     245   0.11845E-02 0.73802E-02  0.0000        0.00    0.00    0.00
     246   0.11734E-02 0.80470E-02  0.0000        0.00    0.00    0.00
     247   0.16860E-02 0.83379E-02  0.0000        0.00    0.00    0.00
     248   0.22616E-02 0.82647E-02  0.0000        0.00    0.00    0.00
     249   0.29400E-02 0.82315E-02  0.0000        0.00    0.00    0.00
     250   0.36346E-02 0.82485E-02  0.0000        0.00    0.00    0.00
     251   0.43192E-02 0.82601E-02  0.0000        0.00    0.00    0.00
     252   0.50000E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     253   0.56666E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     254   0.63334E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     255   0.70000E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     256   0.76666E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     257   0.83334E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     258   0.90000E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     259   0.96666E-02 0.82680E-02  0.0000        0.00    0.00    0.00
     260   0.10333E-01 0.82680E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     261   0.11000E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     262   0.11667E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     263   0.12333E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     264   0.13000E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     265   0.13667E-01 0.82680E-02  0.0000        0.00    0.00    0.00
     266   0.14333E-01 0.82680E-02  0.0000        0.00    0.00    0.00
